CAFA0123;C-1M²;2542.37;3000.00;1.00
CAFA0124;C-1M²;2457.62;2900.00;1.00
CAFA0125;C-1M²;2457.62;2900.00;1.00
CAFA0126;C-1M²;2457.62;2900.00;1.00
CAFA0127;C-1M²;2372.88;2800.00;1.00
CAFA0128;C-1M²;2372.88;2800.00;1.00
CAFA0129;C-1M²;2118.64;2500.00;1.00
CAFA0130;C-1M²;2288.13;2700.00;1.00
CAFA0131;C-1M²;2288.13;2700.00;1.00
CAFA0132;C-1M²;2288.13;2700.00;1.00
CAFA0133;C-1M²;2288.13;2700.00;1.00
CAFA0134;C-1M²;2288.13;2700.00;1.00
CAFA0135;C-1M²;2288.13;2700.00;1.00
CAFA0136;C-1M²;2711.86;3200.00;1.00
CAFA0137;C-1M²;2542.37;3000.00;1.00
CAFA0138;C-1M²;2542.37;3000.00;1.00
CAFA0139;C-1M²;1016.95;1200.00;1.00
CAFA0140;C-1M²;2372.88;2800.00;1.00
CAFA0141;C-1M²;2542.37;3000.00;1.00
CAFA0142;C-1M²;2542.37;3000.00;1.00
CAFA0143;C-1M²;2542.37;3000.00;1.00
CAFA0144;C-1M²;2542.37;3000.00;1.00
CAFA0145;C-1M²;2542.37;3000.00;1.00
CAFA0146;C-1M²;2542.37;3000.00;1.00
CAFA0147;C-1M²;2542.37;3000.00;1.00
CAFA0148;C-1M²;2542.37;3000.00;1.00
CAFA0149;C-1M²;2711.86;3200.00;1.00
CAFA0150;C-1M²;5084.74;6000.00;1.00
CAFA0151;C-1M²;5084.74;6000.00;1.00
CAFA0152;C-1M²;5084.74;6000.00;1.00
CAFA0153;C-1M²;5254.23;6200.00;1.00
CAFA0154;C-1M²;2966.10;3500.00;1.00
CAFA0155;C-1M²;4661.01;5500.00;1.00
CAFA0156;C-1M²;4661.01;5500.00;1.00
CAFA0157;C-1M²;2118.64;2500.00;1.00
CAFA0158;C-1M²;2372.88;2800.00;1.00
CAFA0159;C-1M²;2118.64;2500.00;1.00
CAFA0160;C-1M²;2542.37;3000.00;1.00
CAFA0161;C-1M²;2372.88;2800.00;1.00
